X:1026, Y:390
X:690, Y:882
X:962, Y:334
X:474, Y:390
X:638, Y:664
X:804, Y:386
X:804, Y:546
X:912, Y:664
X:528, Y:604
X:966, Y:666
X:804, Y:442
X:804, Y:664
X:856, Y:546
X:804, Y:826
X:690, Y:332
X:912, Y:548
X:474, Y:546
X:690, Y:546
X:690, Y:770
X:532, Y:392
X:690, Y:494
X:532, Y:332
X:472, Y:332
X:528, Y:546
X:638, Y:606
X:584, Y:548
X:802, Y:494
X:636, Y:546
X:1022, Y:546
X:856, Y:664
X:804, Y:606
X:912, Y:606
X:746, Y:386
X:1020, Y:820
X:858, Y:606
X:746, Y:878
X:804, Y:332
X:1020, Y:606
X:584, Y:604
X:748, Y:494
X:746, Y:716
X:746, Y:334
X:688, Y:716
X:690, Y:386
X:746, Y:442
X:690, Y:824
X:690, Y:666
X:692, Y:606
X:532, Y:878
X:1020, Y:334
X:748, Y:546
X:748, Y:664
X:966, Y:606
X:962, Y:392
X:690, Y:442
X:804, Y:878
X:962, Y:820
X:748, Y:768
X:746, Y:826
X:478, Y:662
X:804, Y:716
X:804, Y:768
X:966, Y:548
X:528, Y:666
X:1018, Y:666
X:964, Y:878
X:584, Y:662
X:474, Y:602
X:1022, Y:876
X:478, Y:816
X:472, Y:872
X:530, Y:812
X:1140, Y:576
X:748, Y:608
